Arc Length/mm,Actual Arc length/m,Radius/mm,Actual Radius/m,Angle/ Degrees,Grade,Angle/degrees (+)
0.174,7.591623037,0,0,0,0,0
0.594,25.91623037,0.29,12.65270506,117.3575622,0,117.3575622
0.429,18.71727749,0,0,0,0,0
0.634,27.66143106,0.348,15.18324607,104.3836903,0,104.3836903
0.393,17.14659686,0,0,0,0,0
0.734,32.02443281,0.369,16.09947644,113.9704666,0,113.9704666
0.111,4.842931937,0,0,0,0,0
0.339,14.79057592,0.126,5.497382199,154.1529306,0,154.1529306
0.525,22.90575916,0,0,0,0,0
0.546,23.82198953,0.181,7.897033159,172.8369923,0,172.8369923
0.2,8.72600349,0,0,0,0,0
0.536,23.38568935,0.153,6.67539267,200.7224694,0,200.7224694
0.148,6.457242583,0,0,0,0,0
0.401,17.495637,0.245,10.68935428,93.77799014,0,93.77799014
0.316,13.78708551,0,0,0,0,0
0.663,28.92670157,0.415,18.10645724,91.5351851,0,91.5351851
0.46,20.06980803,0,0,0,0,0
0.335,14.61605585,0.285,12.43455497,67.34767066,0,67.34767066
0.478,20.85514834,0,0,0,0,0
0.222,9.685863874,0.194,8.464223386,65.56527346,0,65.56527346
0.12,5.235602094,0,0,0,0,0
0.268,11.69284468,0.167,7.286212914,91.94771802,0,91.94771802
0.452,19.72076789,0,0,0,0,0
0.326,14.22338569,0.505,22.03315881,36.98697846,0,36.98697846
0.217,9.467713787,0,0,0,0,0
1.035,45.15706806,1.176,51.30890052,50.42613248,0,50.42613248
0.176,7.678883072,0,0,0,0,0
0.227,9.904013962,0.319,13.91797557,40.77160486,0,40.77160486
0.226,9.860383944,0,0,0,0,0
0.27,11.78010471,0.337,14.70331588,45.90463047,0,45.90463047
0.279,12.17277487,0,0,0,0,0
0.48,20.94240838,0.517,22.55671902,53.19530787,0,53.19530787
0.718,31.32635253,0,0,0,0,0
0.332,14.48516579,0.491,21.42233857,38.74174908,0,38.74174908
0.784,34.20593368,0,0,0,0,0
0.372,16.23036649,0.177,7.722513089,120.4182485,0,120.4182485
0.137,5.977312391,0,0,0,0,0
0.24,10.47120419,0.127,5.541012216,108.2754888,0,108.2754888
0.361,15.7504363,0,0,0,0,0
1.155,50.39267016,0.92,40.13961606,71.9311145,0,71.9311145
0.198,8.638743455,0,0,0,0,0
0.382,16.66666667,0.343,14.96509599,63.81045998,0,63.81045998
0.215,9.380453752,0,0,0,0,0
0.229,9.991273997,0.224,9.773123909,58.57470316,0,58.57470316
0.294,12.82722513,0,0,0,0,0
0.363,15.83769634,0.448,19.54624782,46.42492849,0,46.42492849
0.377,16.44851658,0,0,0,0,0
0.514,22.42582897,0.825,35.9947644,35.69700687,0,35.69700687
0.583,25.43630017,0,0,0,0,0
1.233,53.79581152,1.038,45.28795812,68.05943751,0,68.05943751
0.318,13.87434555,0,0,0,0,0
0.385,16.79755672,0.532,23.21116928,41.46405096,0,41.46405096
0.442,19.28446771,0,0,0,0,0
0.801,34.94764398,1.303,56.84991274,35.22173399,0,35.22173399
0.499,21.77137871,0,0,0,0,0
0.883,38.52530541,1.072,46.77137871,47.19419152,0,47.19419152
1.133,49.43280977,0,0,0,0,0
0.962,41.97207679,0.852,37.17277487,64.69312194,0,64.69312194
0.721,31.45724258,0,0,0,0,0
0.59,25.7417103,1.121,48.90924956,30.15567343,0,30.15567343
1.076,46.94589878,0,0,0,0,0
0.699,30.4973822,0.188,8.202443281,213.0305845,0,213.0305845
0.324,14.13612565,0,0,0,0,0
0.318,13.87434555,0.591,25.78534031,30.82920116,0,30.82920116
0.319,13.91797557,0,0,0,0,0
0.467,20.37521815,0.313,13.65619546,85.48603525,0,85.48603525
0.277,12.08551483,0,0,0,0,0
0.492,21.46596859,0.351,15.31413613,80.31203282,0,80.31203282
0.177,7.722513089,0,0,0,0,0
0.498,21.72774869,0.225,9.816753927,126.8146587,0,126.8146587
0.447,19.5026178,0,0,0,0,0
0.506,22.07678883,0.198,8.638743455,146.4225476,0,146.4225476
