Arc Length/mm,Actual Arc length/m,Radius/mm,Actual Radius/m,Angle/ Degrees,Grade,Angle/degrees (+)
,14,,0,0,0,0
,11.6516,,8.9926,0,0,74.23749177
,2.8146,,0,0,0,0
,9.9379,,5.1724,0,0,110.0843338
,16.7605,,0,0,0,0
,10.4371,,18.055,0,0,33.12114569
,25,,0,0,0,0
,27.6214,,9.2353,0,0,171.3632455
,22,,0,0,0,0
,6.5321,,15.4748,0,0,24.18526104
,3.4947,,0,0,0,0
,12.1239,,19.9003,0,0,34.90645307
,5.0287,,0,0,0,0
,11.33,,12.4825,0,0,52.00574646
,1.9283,,0,0,0,0
,6.7102,,4.0555,0,0,94.80124878
,1.3609,,0,0,0,0
,7.1574,,3.8314,0,0,107.0337628
,1.1195,,0,0,0,0
,6.4597,,8.2466,0,0,44.88078233
,6.0903,,0,0,0,0
,8.0237,,4.9989,0,0,91.96513921
,6.4953,,0,0,0,0
,6.7023,,5.1481,0,0,74.59331159
