Arc Length/mm,Actual Arc length/m,Radius/mm,Actual Radius/m,Angle/ Degrees,Grade,Angle/degrees (+)
,2.1791,,0,0,0,0
,8.0749,,14.3502,0,0,32.24053189
,57.6785,,0,0,0,0
,3.9472,,6.6297,0,0,34.11286965
,2.3785,,0,0,0,0
,8.8837,,8.843,0,0,57.55953256
,7.977,,0,0,0,0
,9.402,,11.9195,0,0,45.19446067
,11.9359,,0,0,0,0
,9.8399,,3.5286,0,0,159.7758933
,11.9132,,0,0,0,0
,5.0518,,5.7062,0,0,50.72501199
,8.4749,,0,0,0,0
,5.5033,,7.5115,0,0,41.97778469
,1.4171,,0,0,0,0
,11.5191,,10.8342,0,0,60.91786853
,1.3623,,0,0,0,0
,8.2287,,6.3657,0,0,74.06415306
,2.5084,,0,0,0,0
,4.5122,,5.0322,0,0,51.37519071
,22.5665,,0,0,0,0
,6.013,,3.3958,0,0,101.4546832
,17.2706,,0,0,0,0
,6.0047,,5.0696,0,0,67.86418215
,8.1745,,0,0,0,0
,24.6453,,24.7316,0,0,57.09589624
,2.1363,,0,0,0,0
,2.9887,,5.8207,0,0,29.41914905
,37.7577,,0,0,0,0
,5.7337,,5.8287,0,0,56.36198269
,0.5407,,0,0,0,0
,7.5849,,4.8203,0,0,90.15686267
,7.9444,,0,0,0,0
,3.7784,,11.2085,0,0,19.31449848
,12.4306,,0,0,0,0
,3.0573,,5.8595,0,0,29.89513349
,3.1721,,0,0,0,0
,6.3707,,11.7147,0,0,31.15867507
,8.7543,,0,0,0,0
,4.4496,,6.6607,0,0,38.27578421
,2.6352,,0,0,0,0
,6.0768,,7.5175,0,0,46.31530257
,11.2918,,0,0,0,0
,5.2019,,10.9297,0,0,27.26947375
,6.2452,,0,0,0,0
,6.6386,,6.46,0,0,58.87988903
,8.4871,,0,0,0,0
,10.9281,,9.5727,0,0,65.4083526
,0.119,,0,0,0,0
,11.9747,,9.4588,0,0,72.53566525
,1.7616,,0,0,0,0
,10.8591,,9.4043,0,0,66.15921704
,1.4651,,0,0,0,0
,9.1122,,8.1895,0,0,63.75127213
,7.0974,,0,0,0,0
,13.744,,10.7687,0,0,73.12617668
,2.9994,,0,0,0,0
,8.1477,,6.5778,0,0,70.97041823
,17.567,,0,0,0,0
,12.0349,,18.1321,0,0,38.02921665
,8.3873,,0,0,0,0
,26.6107,,30.5871,0,0,49.84722604
,4.6751,,0,0,0,0
,12.2333,,16.1295,0,0,43.45559698
,5.2205,,0,0,0,0
,12.5847,,9.2537,0,0,77.92027032
,4.0228,,0,0,0,0
,11.9872,,8.3102,0,0,82.64741502
,1.5446,,0,0,0,0
,14.2401,,9.7587,0,0,83.60727546
,2.5542,,0,0,0,0
,15.1123,,9.8376,0,0,88.01656299
,1.0638,,0,0,0,0
,8.2738,,5.9543,0,0,79.6154411
,18.8133,,0,0,0,0
,30.9422,,25.5914,0,0,69.27557564
,2.6655,,0,0,0,0
,6.1196,,6.7114,0,0,52.24357786
,1.2737,,0,0,0,0
,10.2017,,5.8806,0,0,99.39714444
,1.6116,,0,0,0,0
,7.7489,,5.7357,0,0,77.40635683
,3.5674,,0,0,0,0
,11.7592,,8.3964,0,0,80.24309222
,1.7074,,0,0,0,0
,10.3605,,6.2517,0,0,94.95232098
,2.0663,,0,0,0,0
,8.0767,,5.382,0,0,85.98313141
,5.7936,,0,0,0,0
,5.7936,,7.4329,0,0,44.65943421
,7.06,,0,0,0,0
,15.8103,,19.5731,0,0,46.28108107
,18.4356,,0,0,0,0
,6.1897,,4.3607,0,0,81.32730663
,7.8807,,0,0,0,0
,7.8631,,5.2699,0,0,85.48982418
,7.5622,,0,0,0,0
,6.4119,,4.1456,0,0,88.61808157
,8.4774,,0,0,0,0
,5.2689,,4.3215,0,0,69.85675984
,7.5844,,0,0,0,0
,6.1015,,5.1348,0,0,68.08259211
,6.778,,0,0,0,0
,5.7074,,10.9625,0,0,29.82989357
,53.475,,0,0,0,0
,3.5378,,6.1951,0,0,32.71959774
,7.5039,,0,0,0,0
,5.7172,,4.6398,0,0,70.60039384
,11.5638,,0,0,0,0
,6.5627,,5.4811,0,0,68.60216559
,10.1546,,,0,0,0
,4.2008,,3.1333,0,0,76.81623652
,8.4646,,,0,0,0
,8.3061,,6.4157,0,0,74.17816859
,1.2335,,,0,0,0
,10.3953,,8.1286,0,0,73.27305069
,2.8558,,,0,0,0
,9.6496,,10.0418,0,0,55.05803949
,3.5164,,,0,0,0
,7.8302,,7.0381,0,0,63.74416273
,6.3205,,,0,0,0
,9.7092,,9.2422,0,0,60.19093423
,6.3427,,,0,0,0
,14.5308,,14.1944,0,0,58.65370964
,7.3763,,,0,0,0
,20.0622,,17.3482,0,0,66.25934441
,2.0668,,,0,0,0
,12.2376,,12.1644,0,0,57.64060896
,10.6659,,,0,0,0
,6.7496,,8.605,0,0,44.94176875
,9.4228,,,0,0,0
,6.1715,,5.0301,0,0,70.29705213
,12.6818,,,0,0,0
,17.5035,,20.946,0,0,47.87919048
,4.0541,,,0,0,0
,4.3944,,4.9436,0,0,50.93065502
