t(s),P(W)
0,0
0,0
0.001,2.5305
0.002,3.1071
0.003,26.211
0.004,55.09
0.005,84.913
0.006,114.74
0.007,144.56
0.008,174.38
0.009,204.2
0.01,234.03
0.011,263.85
0.012,293.67
0.013,323.49
0.014,353.32
0.015,383.14
0.016,412.96
0.017,442.79
0.018,472.61
0.019,502.43
0.02,532.26
0.021,562.08
0.022,591.9
0.023,621.73
0.024,651.55
0.025,681.37
0.026,711.2
0.027,741.02
0.028,770.84
0.029,800.67
0.03,830.49
0.031,860.32
0.032,890.14
0.033,919.97
0.034,949.79
0.035,979.61
0.036,1009.4
0.037,1039.3
0.038,1069.1
0.039,1098.9
0.04,1128.7
0.041,1158.6
0.042,1188.4
0.043,1218.2
0.044,1248
0.045,1277.9
0.046,1307.7
0.047,1337.5
0.048,1367.3
0.049,1397.2
0.05,1427
0.051,1456.8
0.052,1486.7
0.053,1516.5
0.054,1546.3
0.055,1576.1
0.056,1606
0.057,1635.8
0.058,1665.6
0.059,1695.5
0.06,1725.3
0.061,1755.1
0.062,1784.9
0.063,1814.8
0.064,1844.6
0.065,1874.4
0.066,1904.3
0.067,1934.1
0.068,1963.9
0.069,1993.8
0.07,2023.6
0.071,2053.4
0.072,2083.3
0.073,2113.1
0.074,2142.9
0.075,2172.8
0.076,2202.6
0.077,2232.4
0.078,2262.3
0.079,2292.1
0.08,2321.9
0.081,2351.8
0.082,2381.6
0.083,2411.4
0.084,2441.3
0.085,2471.1
0.086,2500.9
0.087,2530.8
0.088,2560.6
0.089,2590.5
0.09,2620.3
0.091,2650.1
0.092,2680
0.093,2709.8
0.094,2739.6
0.095,2769.5
0.096,2799.3
0.097,2829.2
0.098,2859
0.099,2888.8
0.1,2918.7
0.101,2948.5
0.102,2978.4
0.103,3008.2
0.104,3038.1
0.105,3067.9
0.106,3097.7
0.107,3127.6
0.108,3157.4
0.109,3187.3
0.11,3217.1
0.111,3247
0.112,3276.8
0.113,3306.7
0.114,3336.5
0.115,3366.4
0.116,3396.2
0.117,3426.1
0.118,3455.9
0.119,3485.8
0.12,3515.6
0.121,3545.5
0.122,3575.3
0.123,3605.2
0.124,3635
0.125,3664.9
0.126,3694.7
0.127,3724.6
0.128,3754.4
0.129,3784.3
0.13,3814.1
0.131,3844
0.132,3873.8
0.133,3903.7
0.134,3933.6
0.135,3963.4
0.136,3993.3
0.137,4023.1
0.138,4053
0.139,4082.8
0.14,4112.7
0.141,4142.6
0.142,4172.4
0.143,4202.3
0.144,4232.2
0.145,4262
0.146,4291.9
0.147,4321.7
0.148,4351.6
0.149,4381.5
0.15,4411.3
0.151,4441.2
0.152,4471.1
0.153,4500.9
0.154,4530.8
